"","V1","V2","V3","V4","V5"
"35",-0.526888627488626,0.0531819237065516,-1.7716997465336,-0.409218677562082,1.15
"36",Inf,-2.75497009195961,-0.0202101361894309,-2.07797463935019,1.15
"37",-2.85487962075399,Inf,-0.482894481733304,-1.6478853743012,1.15
"38",-5.15570877929627,1.20877401106305,-0.484358261992761,-1.3694010707133,1.15
"39",1.25877360639994,-9.61473440408269,-1.42384032520942,-4.0197073399394,1.15
"40",Inf,0.638037166289604,-1.44494631187357,-0.744226809432095,1.15
"41",1.51519258388975,0.933524079297508,-1.1703023831113,-5.63741378340848,1.2
"42",1.88362435006438,0.355614693810928,-0.151547892543641,-0.676543989031904,1.2
"43",0.0662611359452593,-0.606500989586719,-0.381940443908138,-1.85175838351056,1.2
"44",0.31326015713221,-0.0826310239642561,-1.14862424132491,-1.23449219826911,1.2
"45",-0.609413858204661,0.0197355090512949,-1.88766540272577,-0.544229725966507,1.2
"46",Inf,-2.23682330296319,-0.0202101361894309,-2.07797463935019,1.2
"47",-2.85487962075399,Inf,-0.61361396165717,-1.61747328959073,1.2
"48",-1.95663566965447,1.20877401106305,-0.484358261992761,-1.53060345911728,1.2
"49",0.991010972744094,-9.61473440408269,-1.42384032520942,-3.90424929768014,1.2
"50",Inf,0.29626211781956,-1.53904746298523,-0.770193262661273,1.2
"51",1.11461614101524,1.21116287876498,-1.39178914168415,-5.63741378340848,1.25
"52",1.90083225115419,0.288606417196184,-0.221023232002241,-0.41241071661038,1.25
"53",0.0195428046787017,-0.798961572178425,-0.409364134392638,-1.69489519869796,1.25
"54",0.474218753540907,0.122569017527257,-1.22243701214747,-1.23449157604301,1.25
"55",-0.609413858204661,0.0531819237065516,-2.21642543050077,-0.5815538596141,1.25
"56",Inf,-1.04821188287335,-0.0232883858049475,-2.07797463935019,1.25
"57",-3.47449357443241,Inf,-0.61361396165717,-1.60914410813473,1.25
"58",-5.79026296894705,1.24174947128686,-0.353687659619803,-1.58283337343813,1.25
"59",1.08578564406207,-9.22946880816539,-1.31871512751834,-3.6993875849807,1.25
"60",Inf,0.209035349400288,-1.4969748641144,-0.718260356202916,1.25
"61",0.534083906302687,1.09284618715918,-2.16024240438219,-5.63741378340848,1.3
"62",1.94118158208247,0.128555092026581,-1.15615428799613,-0.41241071661038,1.3
"63",-0.0375949966202991,-1.26735036342589,-0.659510440340629,-1.69489519869796,1.3
"64",0.31326015713221,0.0469448018313554,-1.22243701214747,-1.23449157604301,1.3
"65",-0.609413858204661,0.0109306013840489,-2.69373541465337,-1.18383492536843,1.3
"66",Inf,-1.04821188287335,-0.0232883858049475,-2.30490519652473,1.3
"67",-3.1646865975932,Inf,-0.61361396165717,-1.50515641374604,1.3
"68",-5.79026296894705,1.20413152218513,-0.380177758558116,-1.58283338385128,1.3
"69",0.991010972744094,Inf,-1.31871512751834,-3.68689034546404,1.3
"70",Inf,0.253799728557632,-2.52109981341231,-1.15346816602075,1.3
"71",1.51519258388975,0.874989303981168,-1.45543676993271,-5.66004668633566,1.35
"72",1.92902599756899,-0.179367922333742,-1.15615428799613,-0.453244363233261,1.35
"73",-0.174059910688444,-1.61914697284702,-1.11358162635761,-1.85175838351056,1.35
"74",0.160412802478008,0.0469448018313554,-1.14862410922102,-1.23449095381691,1.35
"75",-0.609413858204661,0.0443770160393056,-3.17104539880597,-0.544229725966507,1.35
"76",Inf,-0.785423923004336,-0.0128437959039629,-2.30490519652473,1.35
"77",-2.67769484189933,Inf,-0.485224147386645,-1.38636494627091,1.35
"78",-5.15570877929627,1.09711144816959,-0.353687659619803,-1.58283339426443,1.35
"79",1.08578564406207,Inf,-1.21358992982727,-3.43774284672719,1.35
"80",Inf,0.133840805472662,-2.69995650562956,-0.718260356202916,1.35
"81",1.51519258388975,0.933524079297508,-1.39178914168415,-5.66004668633566,1.4
"82",1.93019573675749,-0.529827725661799,-1.15615428799613,-0.41241071661038,1.4
"83",-0.253387023457587,-1.80028182990833,-4.48136719916057,-1.55604370952587,1.4
"84",-0.216825471689515,-0.0178431110664504,-1.14862424132491,-1.23449219826911,1.4
"85",-0.44436339677259,-0.0422775661384738,-2.69373541465337,-0.5815538596141,1.4
"86",Inf,-0.512039016546801,-0.218069470051777,-2.36326948450243,1.4
"87",-2.63870111306805,Inf,-0.742003775927694,-1.36959082656796,1.4
"88",-5.79026296894705,0.975123819326929,-0.232816243917787,-1.58283339426443,1.4
"89",1.29092394238552,Inf,-1.42384032520942,-3.68689025153452,1.4
"90",-9.23683211641306,0.133840805472662,-2.99417056193868,-0.718260356202916,1.4
"91",1.80485894492015,1.01318513322835,-1.16201507671898,-6.23514185751296,1.45
