"","V1","V2","V3","V4","V5"
"45",0.0845893197208132,6.06189814725727e-13,0.48695029598613,6.26253534446818e-06,1.2
"46",4.4569402242857e-10,1.37712312710582e-06,0.00206105051154189,0.000679487892665438,1.2
"47",1.41913528241119e-06,2.44730003814805e-05,0.00154910763427253,1.18763745400514e-10,1.2
"48",2.62291804957587e-09,1.65199745905156e-14,3.09975832159238e-13,3.97980061320061e-06,1.2
"49",1.97586823623889e-15,4.59755539610319e-07,3.15245988013644e-05,0.000169602566165332,1.2
"50",1.4343247773736e-10,2.44809524008199e-07,0.0026544249864578,1.16543532642956e-05,1.2
"51",8.21448093593124e-05,4.08635258630532e-06,0.000175017260568363,0.856527676524283,1.25
"52",0.000393470394547139,1.57172370101843e-08,1.2345525156283e-05,0.26221964963467,1.25
"53",0.000718820304299042,5.3720011858063e-07,2.56228977647013e-06,8.75931127360464e-07,1.25
"54",0.0105500602246579,1.28553890473136e-09,0.00852204964705892,0.0780909973765338,1.25
"55",0.00043023070077653,2.17636440311044e-12,0.636707120580301,6.07852171813153e-05,1.25
"56",3.84271234962212e-09,8.99746268450518e-06,0.010996488390371,0.000656739036970301,1.25
"57",4.67405193283568e-06,7.80074207721153e-05,0.00195355048179544,1.21045706829994e-09,1.25
"58",6.09722397189627e-08,1.56462564458707e-12,6.9428489091542e-12,0.000250073307040831,1.25
"59",2.45337169254566e-15,0.000100889430682765,8.29078340242116e-06,1.22380469651319e-06,1.25
"60",3.70561039224604e-10,8.24239925089577e-06,0.244305609390907,0.000105445380995181,1.25
"61",0.0201570173592072,6.11406859059847e-07,0.000111962071001159,0.595790178048963,1.3
"62",0.332848501622602,4.82701801860823e-09,0.000141978489258006,0.403103900498941,1.3
"63",0.00396925983263605,6.22667886511305e-07,2.98853816936578e-07,9.5632621712423e-06,1.3
"64",2.61182631000261e-05,4.65904551567248e-05,0.00585751558131604,0.00787465481976788,1.3
"65",0.0700764232857844,1.07759102489623e-10,0.737835975545977,2.08945848819119e-06,1.3
"66",1.1952275848379e-07,7.18449549380376e-05,0.0125911205792711,0.0264864062559006,1.3
"67",4.7253837943923e-06,4.54409598015414e-05,0.0222789731249987,8.34591987228728e-09,1.3
